"Fecha","Consumo final, real","Producto Interno Bruto (PIB) real, Trimestral, base: 2015"
"2005/03/31","102852.41278879","121278.02595231"
"2005/06/30","104847.2570499","125663.62446155"
"2005/09/30","104936.69110032","129103.44700988"
"2005/12/31","106440.63914837","138807.90257626"
"2006/03/31","108817.89920605","128999.2276747"
"2006/06/30","110832.80572119","132349.4596044"
"2006/09/30","111995.70147284","138998.21859401"
"2006/12/31","113296.59359993","149088.09412689"
"2007/03/31","115297.02350263","137656.28362254"
"2007/06/30","116918.87265312","141436.27917055"
"2007/09/30","119558.80896188","148529.2981249"
"2007/12/31","120816.29488237","158835.139082"
"2008/03/31","121302.06608619","144780.3984494"
"2008/06/30","122510.49837367","148195.70537321"
"2008/09/30","123758.55151487","153461.9713226"
"2008/12/31","124935.88402527","159274.92485478"
"2009/03/31","124887.6051316","145003.73099613"
"2009/06/30","125391.09282445","149230.1793428"
"2009/09/30","126062.92505127","154285.33042598"
"2009/12/31","127074.37699269","164096.75923509"
"2010/03/31","129831.83325618","150638.73070703"
"2010/06/30","131130.66717182","156125.06135842"
"2010/09/30","133185.80968486","160528.71920342"
"2010/12/31","134853.68988713","172858.48873112"
"2011/03/31","135970.93527327","160881.01658853"
"2011/06/30","139290.38747966","166720.51390308"
"2011/09/30","140693.41554272","173241.25894357"
"2011/12/31","143038.26170436","183785.21056482"
"2012/03/31","144811.29731885","170757.05363805"
"2012/06/30","146499.9938761","174814.00900025"
"2012/09/30","148405.94762152","177146.37564107"
"2012/12/31","149976.76118352","188697.56172064"
"2013/03/31","152469.78832168","174828.2777029"
"2013/06/30","154829.63725642","184202.56475842"
"2013/09/30","155859.26285827","188214.571985"
"2013/12/31","158107.31156363","200693.58555367"
"2014/03/31","159793.72467447","186383.64610704"
"2014/06/30","160979.86346899","190501.53178172"
"2014/09/30","162120.20775941","196459.90244704"
"2014/12/31","165240.20409712","208243.91966419"
"2015/03/31","166201.0309732","191648.85642617"
"2015/06/30","167540.35000501","197012.81215086"
"2015/09/30","170307.6318373","203478.72699048"
"2015/12/31","166151.98718448","212551.60443249"
"2016/03/31","168937.52620059","196202.73892705"
"2016/06/30","170016.98137439","201220.14452637"
"2016/09/30","170593.07260755","206654.12178331"
"2016/12/31","171553.41981747","217411.99476327"
"2017/03/31","172207.68689127","198332.10187541"
"2017/06/30","173988.38534268","203793.31647513"
"2017/09/30","175223.47925341","210152.66752431"
"2017/12/31","175553.44851263","220377.91412515"
"2018/03/31","178708.91734782","201621.18558344"
"2018/06/30","181003.77718991","209419.42289203"
"2018/09/30","182260.29716824","216259.81476001"
"2018/12/31","182675.00829404","226707.57676452"
"2019/03/31","184671.07942556","208704.45766423"
"2019/06/30","188530.56688211","215914.3848149"
"2019/09/30","190797.52934415","223111.09145602"
"2019/12/31","191756.82434819","233494.06606485"
"2020/03/31","191633.07007803","210057.93425138"
"2020/06/30","162355.8442652","179621.45111221"
"2020/09/30","177519.46896173","202591.41836005"
"2020/12/31","193214.61669503","225044.19627637"
"2021/03/31","197841.05235717","213149.13696322"
"2021/06/30","199876.40460491","213542.86151784"
"2021/09/30","210362.57985896","230098.8046717"
"2021/12/31","215251.96317896","250561.19684724"
"2022/03/31","219128.54880212","229842.20976493"
"2022/06/30","223136.17430544","239762.61379091"
"2022/09/30","227398.68453996","247968.1913092"
"2022/12/31","219540.23374991","257792.05660306"
"","",""
"","",""
"Descargado de sistema del Banco de la República martes, 9 de mayo de 2023 2:39:05 p. m.","",""
