Month,"DEPARTURES
","HOURS
","KILOMETRE
(TH)","PASSENGERS CARRIED
","PASSENGER KMS.PERFORMED
(TH)","AVAILABLE SEAT KILOMETRE
(TH)", PAX.LOAD FACTOR (IN %),FY
APR,2727,12989,9552,394072,1705993,2361391,72.2,FY14
MAY,2733,13053,9868,415697,1841507,2439514,75.5,FY14
JUNE,2777,13339,9744,420919,1848800,2408821,76.8,FY14
JULY,2813,13430,9916,372662,1734592,2451380,70.8,FY14
AUG,2844,13731,10037,424706,1983795,2481327,79.9,FY14
SEP,2906,14158,10298,393271,1794492,2545847,70.5,FY14
OCT,3021,14349,10650,410176,1817376,2632766,69,FY14
NOV,2929,14274,10493,403164,1827968,2593878,70.5,FY14
DEC,3025,14840,11048,458705,2108044,2731090,77.2,FY14
JAN,2993,14751,11081,481878,2258033,2739137,82.4,FY14
FEB,2632,13245,9819,418587,1897800,2427133,78.2,FY14
MAR,2964,14550,10855,456733,2006261,2683236,74.8,FY14
APR,2805,13974,10582,436365,1894941,2615690,72.4,FY15
MAY,2883,14366,10947,459243,2008630,2705952,74.2,FY15
JUNE,2866,14200,10881,457274,2046708,2689731,76.1,FY15
JULY,3008,14853,11366,431645,2003523,2809591,71.3,FY15
AUG,3047,15070,11475,463325,2106520,2836504,74.3,FY15
SEP,2911,14277,10817,420386,1767747,2673749,66.1,FY15
OCT,3122,15341,11600,437658,1855731,2867266,64.7,FY15
NOV,3037,15016,11392,424686,1850416,2815857,65.7,FY15
DEC,3135,15706,11917,507036,2216572,2945660,75.2,FY15
JAN,3196,15900,19810,538683,2409131,2977820,80.9,FY15
FEB,2880,14342,17829,463651,2041546,2686586,76,FY15
MAR,3105,15568,19471,496476,2187860,2921097,74.9,FY15
APR,2923,14799,18386,455288,1966362,2798786,70.3,FY16
MAY,2979,15368,18692,481194,2158733,2955324,73,FY16
JUNE,2911,14985,18054,463537,2154821,2861133,75.3,FY16
JULY,3049,15666,19032,466903,2204827,2989216,73.8,FY16
AUG,3054,15617,18888,500304,2304626,2954804,78,FY16
SEP,2960,15215,17833,425477,1921745,2825453,68,FY16
OCT,3082,15863,18398,425021,1908621,2921583,65.3,FY16
NOV,2937,15851,17506,469620,2111724,2958362,71.4,FY16
DEC,3015,16844,18866,538014,2482959,3110462,79.8,FY16
JAN,3085,17042,19464,545940,2550849,3144611,81.1,FY16
FEB,2850,15839,18062,464071,2197646,2931310,75,FY16
MAR,3049,16997,19370,498298,2336591,3130554,74.6,FY16
APR,2991,16592,18992,465781,2173361,3057620,71.1,FY17
MAY,3063,16935,19470,489623,2248359,3144952,71.5,FY17
JUNE,2901,16441,18834,460734,2245263,3058410,73.4,FY17
JULY,2999,16791,19529,492350,2422275,3161525,76.6,FY17
AUG,2983,16674,18975,495666,2404723,3093693,77.7,FY17
SEP,2900,16176,18463,459875,2206891,3026515,72.9,FY17
OCT,3045,16788,18934,456108,2195420,3091841,71,FY17
NOV,2953,16478,18582,470888,2303956,3062193,75.2,FY17
DEC,3126,17697,20093,524561,2569078,3303483,77.8,FY17
JAN,3121,17796,20061,549131,2703783,3298734,82,FY17
FEB,2790,15919,18198,475964,2299970,3006179,76.5,FY17
MAR,3057,17416,19998,524282,2506319,3317439,75.5,FY17
APR,2968,16930,19417,498543,2384301,3191667,74.7,FY18
MAY,3111,17538,20106,523134,2505617,3281128,76.4,FY18
JUNE,3018,16961,19476,491376,2504555,3152650,79.4,FY18
JULY,3120,17778,20401,516782,2652300,3303130,80.3,FY18
AUG,3121,17883,20436,532324,2644719,3314292,79.8,FY18
SEP,3048,17501,19938,501487,2524072,3239977,77.9,FY18
OCT,3195,18261,20788,532148,2625779,3408116,77,FY18
NOV,3097,17869,20199,530058,2623235,3334993,78.7,FY18
DEC,3284,18835,21188,598703,2885994,3483152,82.9,FY18
JAN,3346,19161,21334,591846,2914688,3483881,83.7,FY18
FEB,3048,17438,19434,513954,2540414,3171634,80.1,FY18
MAR,3407,19530.3,21680.8,586725,2890629.6,3546568.9,81.5,FY18
APR,3324,19344.2,21263.1,568627,2718210.6,3527137.5,77.1,FY19
MAY,3424,19984.6,22133.4,580708,2799009.4,3667758.3,76.3,FY19
JUNE,3343,19476.5,21561,559293,2827440.2,3594306.5,78.7,FY19
JULY,3314,19537.8,21636.8,537174,2815827.4,3569365.7,78.9,FY19
AUG,3243,19290.2,21646.8,542938,2803799.2,3548755.1,79,FY19
SEP,3134,20613.3,18638.5,493010,2486734.6,3406660,73,FY19
OCT,3441,19961,22001,555307,2728320,3678752,74.2,FY19
NOV,3389,19572,21445.5,581736,2906374,3635611.6,79.9,FY19
DEC,3546,20897,22373,614108,3089362,3875133,79.7,FY19
JAN,3544,22406,21021,624147,3237285.7,3855869.8,84,FY19
FEB,3243,19299,20537,555271,2800950,3508021,79.8,FY19
MAR,3550,21798,23501,591249,2888234,3753949,76.9,FY19
APR,3377,20466,21691,598024,2847254,3571847.6,79.7,FY20
MAY,3444,21090,22978.3,598769,3033451.8,3699470.3,82,FY20
JUNE,3432,20627.8,21460.3,628878,3178287.3,3635967.7,87.4,FY20
JULY,3570,20627.8,22005.2,598692,3073593.8,3676071.3,83.6,FY20
AUG,3646,20729,21977.9,622467,3125299.9,3753964.6,83.3,FY20
SEP,3535,20209.8,21114.6,556384,2745510.7,3688583.9,74.4,FY20
OCT,3733,21673.4,21830.8,587118,2920520.1,3983835.3,73.3,FY20
NOV,3762,21881,21666.8,624138,3090911.5,3938280.8,78.5,FY20
DEC,3885,22670.4,22430.4,680680,3308630.4,4075417.5,81.2,FY20
JAN,3862,22678.3,22487,681323,3448481.1,4069203.3,84.7,FY20
FEB,3546,20704.4,20388.3,591237,3018390.3,3744302.9,80.6,FY20
MAR,2029,12063.2,12378.2,293819,1646355.4,2269889.2,72.5,FY20
APR,0,0,0,0,0,0,0,FY21
MAY,0,0,0,0,0,0,0,FY21
JUNE,0,0,0,0,0,0,0,FY21
JULY,0,0,0,0,0,0,0,FY21
AUG,0,0,0,0,0,0,0,FY21
SEP,0,0,0,0,0,0,0,FY21
OCT,0,0,0,0,0,0,0,FY21
NOV,0,0,0,0,0,0,0,FY21
DEC,0,0,0,0,0,0,0,FY21
JAN,0,0,0,0,0,0,0,FY21
FEB,0,0,0,0,0,0,0,FY21
MAR,0,0,0,0,0,0,0,FY21
APR,0,0,0,0,0,0,0,FY22
MAY,0,0,0,0,0,0,0,FY22
JUNE,0,0,0,0,0,0,0,FY22
JULY,0,0,0,0,0,0,0,FY22
AUG,0,0,0,0,0,0,0,FY22
SEP,0,0,0,0,0,0,0,FY22
OCT,0,0,0,0,0,0,0,FY22
NOV,0,0,0,0,0,0,0,FY22
DEC,0,0,0,0,0,0,0,FY22
JAN,0,0,0,0,0,0,0,FY22
FEB,0,0,0,0,0,0,0,FY22
MAR,0,0,0,0,0,0,0,FY22
APR,2806,18074.5,13794.2,461138,2709738.7,3389553.9,79.9,FY23
MAY,2949,18928.2,14405.4,469817,2732832.3,3540786.8,77.2,FY23
