"Data Source","Indicadores del desarrollo mundial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","5/10/2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Aruba","ABW","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","AFE","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afganistán","AFG","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","AFW","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","AGO","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201789000000","230125595020","269759033206.43","302793976576.28","315329647206.54","353074605977.16","442296558907.59","465567844824.06","423448938275.43","466952482749.56","501266777216.38","509558391412.92","526415407922.48","514047239732.16","416370197051.41","416370197051.41","416370197051.41","416370197051.41","351829107624.85","384023660410.26",""
"Albania","ALB","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111040500900","88145397700","99436395200","136496312400","194678317700","238894907600","251248550400","271060001200","303039748000","324429545700","348987913400","365168778800","381297071600","385019905600","352412130000","373357060000","344017714800","337220391900","321884791700","333151808600","341239239200","361830759500","370320481100","356696094900","353052213200","423398404400",""
"Andorra","AND","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"El mundo árabe","ARB","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Emiratos Árabes Unidos","ARE","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120164985400","127139611400","136740287100","140306762500","161462771000","185497196600","265798843200","266778552600","290935590600","263511857600","262742463900","265518953700","250419173900","277678167300","289662252000","315262280900","260818307300","270218400200","270277442300","286073900000","",""
"Argentina","ARG","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","36755329401","41962315613","38592931493","33385945195","36755329401","38592931493","38592931493","40430876446","45637891500","56051764684","57007426600","61656973817","62330694331","57797553473","60125534651","60248042043","66557637022","80432739628","70141216912","74889021327","81125698816","68976364432","55220487965","55441098788","53148948315","45652442317","50692826500","57250409982","55235349559","43303652365","36006948329","46788033000","62061268900","70515961600","80157092500","69669294700","75858232400","89256968500","95097915700","83106206800","77451444300","65321734700","41513544500","57357679200","77103177100","89307355100","102232644300","123142490200","133850265000","103636442000","130845758500","153584085100","142717702100","146056568000","136189647200","140905220200","132763055500","150527514500","141878733400","119246872900","103794041000","138487169600",""
"Armenia","ARM","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","263054819900","222436704600","241555231200","249052613500","278826661600","278931708500","325284304400","344016312500","458320752700","585202533000","696843092800","899992926400","1203636232900","1422314145700","1591587717000","1188094686200","1153640666200","1024433040900","1006835000000","936356550000","915756705900","938650623500","831644452500","912313964400","956105034600","998173656200","983201051322.62","1045142717556",""
"Samoa Americana","ASM","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antigua y Barbuda","ATG","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","AUS","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","43134000000","45582000000","46391000000","49292000000","53909000000","57943000000","62656000000","65849000000","70705000000","75224000000","77691000000","80194000000","82445000000","84967000000","88593000000","82914000000","85762000000","89098000000","92515000000","101559000000","104477000000","117838000000","126382000000","114414000000","120227000000","131780000000","139596000000","140135000000","150631000000","166782000000","168294000000","152339000000","146250000000","155954000000","164988000000","183179000000","188193000000","200685000000","220238000000","230015000000","248632000000","228883000000","249767000000","281154000000","305714000000","324344000000","351179000000","367050000000","399211000000","405296000000","412380000000","427225000000","476794000000","490580000000","481313000000","463542000000","446656000000","446481000000","468093000000","462226000000","450028000000","467052000000",""
"Austria","AUT","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","30638149000","34863292000","39094833000","39231335000","40788303000","38768510000","40248696000","43843764000","41005952000","43394933000","44836899000","44811841000","41081334000","40904719000","40804445000","43326821000","44143975000","46073261000","49326506000","51526934000","54356967000","58879286000","58959919000","58238290000","61235123000","61352650000","64037280000","64511210000","66723890000","67541740000","71478470000","70684660000","68659040000","71297430000","71968060000","72149980000","72980220000","76369650000","77596830000","72027210000","70164200000","74830000000","75507890000","76688900000","76379880000","78137780000","81502260000","84955170000","88655340000","92665320000","87715480000","95380910000",""
"Azerbaiyán","AZE","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","471727770.19","372665000","223598900","136395400","257787200","305739400","646333000","898402800","1105035500","1399631600","1290092300","1439744300","2407192200","4190578400","5243298800","5172900000","5314295300","4819142200","4896526300","4455099800","4648540300","5205088300","5319600100","6354119700","6442070800","","","","","","","",""
"Burundi","BDI","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80788844200","91116983000","79857257300","171164020800","174014246400","178109247700","182507673300","217765288800","221108652000","220342488000","214772386000","200343745000","222325955000","257844000600","250986469600","249273519900","249504308700","249139291800","236880213100","173144540200","168829917700","210909701300","280253896499.54","233740071469.59","275431409389.22",""
"Bélgica","BEL","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","36989124000","36286124000","37517967000","40152993000","42938873000","42137079000","43819809000","43838188000","45049981000","43824030000","49341543000","41676905000","40009829000","37884411000","38771749000","40503104000","41745377000","43810707000","50828357000","56802163000","61676230000","59120419000","59761817000","58256837000","58480418000","60464700000","60799200000","64872200000","66333100000","69049600000","72480800000","73659400000","70617000000","70523800000","76892000000","81303900000","82853100000","88886400000","90581400000","84582500000","84588400000","89004100000","89581500000","87548300000","92237800000","95688900000","99665100000","101062700000","104132400000","109370200000","103739300000","108787000000",""
"Benin","BEN","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","616350118480","352132811800","276440789470","193226511560","257165148030","290074777510","238829798360","232034102470","278250813760","305645646000","325574479000","352603168800","345485120400","398759095900","404946916900","438716863800","457362794300","491546297700","489370824000","569411531900","541757678800","585723366900","574279279900","526101468800","517314219900","645616155700","652147928100","703016398700","772958941400","804426070500","800903856300","1171876959700","1314641245200","1379940000000","1384416000000","1735184107100","2016677403400","2226596030800","2273568559300","2382305228500",""
"Burkina Faso","BFA","Formación bruta de capital fijo (UMN a precios constantes)","NE.GDI.FTOT.KN","","","","","","","","","","","","","","","","","","","","","","","","170369219180","173227453590","246455249010","246508765590","258039252950","258367749420","289438094710","261615727180","299614507200","286754503300","277085665000","340079657400","310689569700","338076810900","388206942900","392034504700","375873357100","369987355900","358580089600","370586847900","414777830900","471016502900","521535214200","565600898900","643834138400","668168196900","787440238200","926223066700","1072344780600","1224304378300","1325564578200","1154441928400","1339407000000","1518129000000","1654520802500","1796412865600","2224059112400","","",""
