"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","25967.9778950484","30191.3944300631","35887.3868780664","40076.0092827855","40956.0001019289","42815.1228928445","43830.1159676316","45623.9137645108","47814.0222192478","47542.8202465931","46672.7753503658","48471.8915683256","47974.0418469563","47163.5028261595","49483.1707837174","50655.5225987143","49574.5306762838","49632.6900464936","52768.8689330768","52041.1079241768","52015.5638767441","52971.9900399847","53277.6848034614","46476.2327137846","44697.5812479445","45770.4762656978","44931.0560952679","47463.0637636081","47126.2814448713","48485.9529815744","49220.9699258157","51641.2333197394","54088.1659593003","54186.1822575914","44054.2738535591","51642.7548272491","",
"","AFE","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21513.9617393236","21713.4024313395","21171.1634818886","22721.2893627353","22967.8126713638","25678.7914907061","26157.6379017693","30641.9815341124","34043.0024513943","32949.7576254933","35667.1716675892","36381.4146788096","36030.4055787636","35429.9889857345","35307.4711991414","35217.9336476653","34623.2518636684","34946.2291173097","33071.4806696974","25476.5172884364","",
"","AFW","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","49684.1055866792","45839.3766568031","44221.9611916731","44442.3177028228","45438.6162349384","45364.3354280541","45044.6917312182","45298.9777443677","46483.5346100784","44961.2394932015","41981.9237320476","41011.0909990284","37382.3092518373","27532.3983549965","27022.8779966411","30070.632312394","33025.2096069414","34265.4777580692","34715.7008157292","34346.7684236532","34266.0721912605","34553.2997705587","37986.9673333832","37809.9249892768","40504.6672908523","44964.0551964559","48387.7169217462","53195.0891988612","57005.4779143667","55410.869390591","55973.8007467412","55779.549357765","58309.7233468629","58952.2306916869","59558.414328899","57982.2485440609","54496.4813104529","52516.3812106925","50060.3887382983","48050.5056409818","43901.1300715886","43000.8422676916","",
"Albania","ALB","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","207060.081949942","214614.976621904","216322.968604428","214123.391960506","207041.266761901","206439.614471583","213901.695441229","208020.476069406","201233.761577374","215166.417077377","191093.802099593","138415.31604419","129248.690853421","142470.766467315","155250.054652543","177023.092248408","194336.269098207","174200.884260331","190778.684302212","216739.979535367","233277.288609002","255005.661706054","267374.648427898","283214.488211669","300084.356308469","318293.122268168","339214.284053016","362237.534094923","392405.068682875","408309.794949239","425553.059864656","437560.645670945","444495.425391179","449772.627778323","458702.359970427","470247.105064285","486613.08316363","505579.998900279","527200.24609472","540506.220011205","524691.975753467","574674.275247288","",
"Andorra","AND","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","38449.8041369587","37478.5215838102","37852.269880431","38189.4113286599","37837.80288659","35789.8382908828","34884.7279408753","33956.5413842127","32734.5728310923","31244.1889198055","30616.9570947179","29438.8863357396","28561.7974143738","27748.8756702612","27072.9878452384","26672.0461389212","26455.2119877206","26732.7682124488","26952.2565936279","27167.1980015105","27178.6953293883","26932.9959952376","26305.8307002077","25210.1849347488","25015.5626914822","24932.9153953725","25596.394219527","27686.4800098946","28350.1027828061","29301.3784174853","30132.3811973312","31751.2533176054","31775.6072774492","33109.1777504161","34394.6030962006","34937.3637661915","36437.0925318807","37974.8746290042","36860.1669844192","35946.7583816281","36386.2749758805","36874.176314708","34819.8217227832","33417.9662869393","34133.4245542509","34562.623700276","35452.4400330852","34950.2282053713","34948.8755282418","35032.1574997053","30570.7850707851","32744.5150188526","",
"El mundo árabe","ARB","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","383924.942491084","395816.276252611","417650.05199042","360800.438631896","386719.90727083","429163.600145161","413994.871202894","363798.690420737","327012.227813816","321751.778334382","294176.154663597","234985.500276776","226405.508884079","206363.533828558","217831.061255469","243062.740961113","231941.940157828","227484.592986304","219261.887550129","223741.314430422","228410.901491708","228622.685779919","231730.791600801","218483.417684252","212018.586643758","222272.080365569","213711.150837329","208100.225062644","215739.682486404","225729.673038027","220785.243750691","211914.721020038","182409.013449524","158171.547923536","131052.412993748","125474.31661383","132705.945338916","137604.388928087","143126.029429168","147669.139417452","156259.581727095","163531.129785488","163388.324473114","164233.434060568","164765.035566301","155322.27801623","160063.336044732","",
"Argentina","ARG","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","8989.40101605209","9325.68577162433","9096.80238524946","8475.36403523738","9185.83273905731","9997.75473559696","9776.8757988844","9932.05840142296","10250.6943339305","11070.9275380892","11230.703127061","11679.720711549","11682.113574753","11814.8332868916","12258.3809922092","12053.2335055345","11623.6800659651","12232.6217476523","11495.361385518","12469.3079568857","12459.6414055078","11627.762576575","11362.0507118234","11672.8175737479","11675.3131973485","10903.2138452157","11400.5218586534","11533.3025888624","11236.851521098","10278.582778038","9880.04204928068","10629.9372076094","11315.5759312697","12079.0941198875","12613.004669704","12093.742302076","12602.2802134721","13462.1742574004","13819.5071563521","13198.7193992224","12947.0214703367","12240.9172045843","10790.8642247803","11623.8358140688","12545.3917727358","13515.4638150148","14452.758762344","15596.869579383","16069.4212577919","14965.7806008789","16439.0564015752","17226.2707236215","16856.718216504","17070.0712000244","16459.2049590457","16727.4347429468","16207.200833909","16492.0664048258","15898.0865321293","15425.9829164663","13758.0314135673","15045.3946077154","",
