"Data Source","Indicadores del desarrollo mundial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","5/10/2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Aruba","ABW","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","25967.977895048","30191.394430063","35887.386878066","40076.009282785","40956.000101929","42815.122892845","43830.115967632","45623.913764511","47814.022219248","47542.820246593","46672.775350366","48471.891568326","47974.041846956","47163.50282616","49483.170783717","50655.522598714","49574.530676284","49632.690046494","52768.868933077","52041.107924177","52015.563876744","52971.990039985","53277.684803461","46476.232713785","44697.581247945","45770.476265698","44931.056095268","47463.063763608","47126.281444871","48485.952981574","49220.969925816","51641.233319739","54088.1659593","54186.182257591","44054.273853559","51642.754827249",""
"","AFE","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afganistán","AFG","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21513.961739324","21713.40243134","21171.163481889","22721.289362735","22967.812671364","25678.791490706","26157.637901769","30641.981534112","34043.002451394","32949.757625493","35667.171667589","36381.41467881","36030.405578764","35429.988985734","35307.471199141","35217.933647665","34623.251863668","34946.22911731","33071.480669697","25476.517288436",""
"","AFW","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","AGO","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","49684.105586679","45839.376656803","44221.961191673","44442.317702823","45438.616234938","45364.335428054","45044.691731218","45298.977744368","46483.534610078","44961.239493202","41981.923732048","41011.090999028","37382.309251837","27532.398354996","27022.877996641","30070.632312394","33025.209606941","34265.477758069","34715.700815729","34346.768423653","34266.07219126","34553.299770559","37986.967333383","37809.924989277","40504.667290852","44964.055196456","48387.716921746","53195.089198861","57005.477914367","55410.869390591","55973.800746741","55779.549357765","58309.723346863","58952.230691687","59558.414328899","57982.248544061","54496.481310453","52516.381210693","50060.388738298","48050.505640982","43901.130071589","43000.842267692",""
"Albania","ALB","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","207060.08194994","214614.9766219","216322.96860443","214123.39196051","207041.2667619","206439.61447158","213901.69544123","208020.47606941","201233.76157737","215166.41707738","191093.80209959","138415.31604419","129248.69085342","142470.76646731","155250.05465254","177023.09224841","194336.26909821","174200.88426033","190778.68430221","216739.97953537","233277.288609","255005.66170605","267374.6484279","283214.48821167","300084.35630847","318293.12226817","339214.28405302","362237.53409492","392405.06868288","408309.79494924","425553.05986466","437560.64567094","444495.42539118","449772.62777832","458702.35997043","470247.10506428","486613.08316363","505579.99890028","527200.24609472","540506.2200112","524691.97575347","574674.27524729",""
"Andorra","AND","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","38449.804136959","37478.52158381","37852.269880431","38189.41132866","37837.80288659","35789.838290883","34884.727940875","33956.541384213","32734.572831092","31244.188919806","30616.957094718","29438.88633574","28561.797414374","27748.875670261","27072.987845238","26672.046138921","26455.211987721","26732.768212449","26952.256593628","27167.19800151","27178.695329388","26932.995995238","26305.830700208","25210.184934749","25015.562691482","24932.915395372","25596.394219527","27686.480009895","28350.102782806","29301.378417485","30132.381197331","31751.253317605","31775.607277449","33109.177750416","34394.603096201","34937.363766191","36437.092531881","37974.874629004","36860.166984419","35946.758381628","36386.274975881","36874.176314708","34819.821722783","33417.966286939","34133.424554251","34562.623700276","35452.440033085","34950.228205371","34948.875528242","35032.157499705","30570.785070785","32744.515018853",""
"El mundo árabe","ARB","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Emiratos Árabes Unidos","ARE","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","383924.94249108","395816.27625261","417650.05199042","360800.4386319","386719.90727083","429163.60014516","413994.87120289","363798.69042074","327012.22781382","321751.77833438","294176.1546636","234985.50027678","226405.50888408","206363.53382856","217831.06125547","243062.74096111","231941.94015783","227484.5929863","219261.88755013","223741.31443042","228410.90149171","228622.68577992","231730.7916008","218483.41768425","212018.58664376","222272.08036557","213711.15083733","208100.22506264","215739.6824864","225729.67303803","220785.24375069","211914.72102004","182409.01344952","158171.54792354","131052.41299375","125474.31661383","132705.94533892","137604.38892809","143126.02942917","147669.13941745","156259.58172709","163531.12978549","163388.32447311","164233.43406057","164765.0355663","155322.27801623","160063.33604473",""
"Argentina","ARG","PIB per cápita (UMN a precios constantes)","NY.GDP.PCAP.KN","8989.4010160521","9325.6857716243","9096.8023852495","8475.3640352374","9185.8327390573","9997.754735597","9776.8757988844","9932.058401423","10250.694333931","11070.927538089","11230.703127061","11679.720711549","11682.113574753","11814.833286892","12258.380992209","12053.233505534","11623.680065965","12232.621747652","11495.361385518","12469.307956886","12459.641405508","11627.762576575","11362.050711823","11672.817573748","11675.313197348","10903.213845216","11400.521858653","11533.302588862","11236.851521098","10278.582778038","9880.0420492807","10629.937207609","11315.57593127","12079.094119887","12613.004669704","12093.742302076","12602.280213472","13462.1742574","13819.507156352","13198.719399222","12947.021470337","12240.917204584","10790.86422478","11623.835814069","12545.391772736","13515.463815015","14452.758762344","15596.869579383","16069.421257792","14965.780600879","16439.056401575","17226.270723621","16856.718216504","17070.071200024","16459.204959046","16727.434742947","16207.200833909","16492.066404826","15898.086532129","15425.982916466","13758.031413567","15045.394607715",""
