"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"",""2022"","
"Aruba,""ABW"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1676310877.05906"",""1945835371.01757"",""2308707372.63977"",""2588749895.63081"",""2691300678.69795"",""2905605500"",""3076523500"",""3301346400"",""3572185600"",""3663174300"",""3706611800"",""3967812100"",""4046850300"",""4096952000"",""4409000000"",""4594000000"",""4550000000"",""4601000000"",""4936000000"",""4917000000"",""4973000000"",""5127000000"",""5221000000"",""4611000000"",""4485000000"",""4636000000"",""4588000000"",""4883000000"",""4882000000"",""5055000000"",""5162000000"",""5445000000"",""5731290241.37938"",""5767685611.86254"",""4695524778.6816"",""5501864171.03064"","""","
",""AFE"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Afganistán,""AFG"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""451798704100"",""491702820800"",""498656078800"",""554653734400"",""584368771600"",""665165465300"",""691273102200"",""839140071400"",""959661073000"",""963752633900"",""1086653136600"",""1147513804100"",""1178778315300"",""1195886097800"",""1222916881100"",""1255287530100"",""1270215762500"",""1319901565700"",""1288869351100"",""1021594636900"","""","
",""AFW"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Angola,""AGO"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""413870934690"",""395660608520"",""395660608520"",""412278359730"",""437015070240"",""452310595470"",""465427610620"",""484429850040"",""514120024990"",""514334009260"",""496588978370"",""501511959400"",""472232283300"",""358974843500"",""363782821300"",""418350244600"",""475013148600"",""509566922500"",""533471453100"",""545109078000"",""561760112000"",""585387734200"",""665385000000"",""685280011500"",""760318172800"",""874593994100"",""975609600400"",""1112292505500"",""1236535578300"",""1247169784300"",""1307782235800"",""1353162279400"",""1468722338100"",""1541424093800"",""1615720735100"",""1630908510000"",""1588831070500"",""1586447823900"",""1565565219200"",""1554606262700"",""1467548311982.28"",""1483691343414.08"","""","
"Albania,""ALB"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""553263917790"",""585052444710"",""602303282380"",""608958361800"",""601336659380"",""612044324280"",""646546751200"",""641452980110"",""632344093420"",""694544929840"",""628037806540"",""452173770300"",""419675539900"",""459794052500"",""497970139300"",""564311381100"",""615663713600"",""548433334100"",""596856837200"",""673796480100"",""720599843000"",""780361440800"",""815762726100"",""860863289800"",""908337041400"",""958535599900"",""1015114688100"",""1075851634300"",""1156540952600"",""1195334682600"",""1239645000000"",""1271199000000"",""1289214976300"",""1302133136500"",""1325238823000"",""1354642246300"",""1399548375100"",""1452762386900"",""1511154132600"",""1542707988600"",""1488996598700"",""1615792120787.44"","""","
"Andorra,""AND"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""",""763613110.16"",""799117037.21"",""864243025.91"",""931554310.54"",""983896388.46"",""989231130.36"",""1021913220.3"",""1050920999.3"",""1066295975.4"",""1066739098.1"",""1090300459.1"",""1088856088.9"",""1102428256.6"",""1121942541.1"",""1141965700.3"",""1168475669.3"",""1206489942.7"",""1273415413.8"",""1338287348.9"",""1402886937.6"",""1455935530.1"",""1493003700"",""1506876900"",""1491333700"",""1526874900"",""1568978500"",""1641931900"",""1790816900"",""1848029800"",""1923782000"",""1991660000"",""2153370000"",""2251270000"",""2447000000"",""2646080000"",""2788910000"",""2923020000"",""2968420000"",""2803400000"",""2654740000"",""2602310000"",""2602100000"",""2472660000"",""2384940000"",""2444670000"",""2479730000"",""2571720000"",""2580620000"",""2621620000"",""2674460000"",""2375350000"",""2587930000"","""","
"El mundo árabe,""ARB"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Emiratos Árabes Unidos,""ARE"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""208622510200"",""243101253100"",""295220533400"",""290527698000"",""351316473200"",""435192490400"",""455468877400"",""424864483400"",""404701176800"",""420957825900"",""405826595700"",""345122499300"",""356794479100"",""347450361000"",""390318408800"",""461855910300"",""465828249600"",""481409947700"",""487481446400"",""521098891100"",""555949393300"",""588185585500"",""636360329700"",""638218465900"",""656740929300"",""728015079800"",""738200629800"",""756164423300"",""822710982000"",""901415106800"",""945180083000"",""1038160470200"",""1071219550200"",""1105411124400"",""1047455282400"",""1064244419900"",""1137980686000"",""1192337764325.82"",""1252617111281.58"",""1304797280104.77"",""1393350908042.75"",""1470841989977.81"",""1481653689266.24"",""1501121342763.95"",""1517758993229.57"",""1442522884075.07"",""1499016351242.64"","""","
"Argentina,""ARG"",""PIB (UMN a precios constantes)"",""NY.GDP.MKTP.KN"",""182932009390"",""192861271430"",""191218051890"",""181067821330"",""199410530600"",""220487093700"",""219032482640"",""226023992090"",""236924000870"",""259857121160"",""267771442210"",""282922301410"",""287529454900"",""295614075960"",""311972780690"",""311884142660"",""305589536220"",""326779566190"",""312054471110"",""343955061570"",""349178995840"",""331057342230"",""328621888570"",""342913961040"",""348300243340"",""330226858890"",""350546962680"",""360028798200"",""356104724290"",""330618488450"",""322461423550"",""351912181900"",""379844477800"",""411018234600"",""435006083700"",""422629248800"",""445986656500"",""482160842800"",""500724897600"",""483773071300"",""479956106900"",""458795611600"",""408812193300"",""444939093600"",""485115195200"",""528055942500"",""570549404200"",""621942502600"",""647176159700"",""608872876400"",""670523679400"",""710781597200"",""703485989500"",""720407105300"",""702306046000"",""721487146600"",""706477848600"",""726389947800"",""707377443000"",""693223803600"",""624294930800"",""689210675100"","""","
