"Data Source","Indicadores del desarrollo mundial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","5/10/2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Aruba","ABW","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","AFE","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120643066","124077304","127370669","130579125","134181053","138169361","141973175","145688984","149656118","153940525","158431105","163146680","168139488","173260264","178516550","183936772","189039384","194149171","199397049","204185153","208275030","214767955","220608808","227301880","233915961","241748050","249120842","256658813","263541096","271671732","276054782","286586189","297024063"
"Afganistán","AFG","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2641965","2645619","2957392","3420015","3754691","3965313","4105092","4242706","4385878","4546322","4594699","4618603","4924226","5315286","5541238","5787757","6071864","6119540","6214595","6509255","6743046","7098230","7520865","7881567","8285362","8630724","8913938","9254593","9613728","9991682","9105733","",""
"","AFW","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74502664","76543918","78713964","80914073","83113905","85431272","87866325","90334325","92905354","95482860","98086991","100807575","103584047","106416651","109376497","112325695","115350739","118396641","121335416","124332736","127374098","130610758","131159557","131537915","135108966","139278883","144083199","148351940","153462322","158740921","161644121","167022127","173269006"
"Angola","AGO","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4889409","5044501","5202054","5360710","5527396","5710800","5910932","6121075","6337219","6557385","6786985","7031079","7285806","7554547","7838390","8133535","8442257","8762915","9093722","9435748","9793696","10176620","10567776","10968484","11377486","11795033","12232879","12689061","13153405","13629799","13979133","14470377","15042938"
"Albania","ALB","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1374478","1429833","1438342","1413557","1391914","1363163","1343448","1360590","1344921","1325723","1317402","1304704","1308103","1294847","1281167","1266465","1249959","1231498","1212147","1258916","1270655","1388801","1328695","1227940","1256110","1308343","1354998","1377319","1409389","1433004","1347461","1384740","1393906"
"Andorra","AND","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"El mundo árabe","ARB","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61012540","62746989","64996585","67536242","70123228","72066479","74120885","76257811","78340627","81526344","83660752","85339139","86796709","89712632","92644437","95828595","99508114","103652811","107104984","110743247","114992846","117605120","120164602","123500778","125466581","128041423","130911676","131828490","133896234","136747062","136323583","138917671","143172150"
"Emiratos Árabes Unidos","ARE","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","971329","1042316","1115373","1192906","1269031","1347349","1436160","1535115","1644809","1763485","1889779","2023460","2163031","2307664","2457500","2671414","3097126","3769133","4557619","5298911","5685095","5782838","5879032","5973682","6066398","6155854","6244154","6328526","6404956","6479503","6491560","6462165","6579221"
"Argentina","ARG","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13417468","13851438","14265143","14693482","15067576","15197489","15564039","16000379","16317383","16415836","16591905","16648514","16474698","16943192","17425150","17545905","17877291","17924078","17966575","18324357","18255867","18663922","18835226","18964106","19049721","19229476","19404277","19580710","20103008","20607477","19406591","21191985","21339080"
"Armenia","ARM","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1621642","1645616","1614810","1547325","1500851","1475016","1465943","1457430","1450951","1446058","1441026","1435730","1430826","1427991","1427518","1429115","1432679","1438080","1437981","1459017","1459819","1455297","1447228","1441157","1433898","1426241","1418505","1406989","1395196","1411206","1385587","1386828","1386376"
"Samoa Americana","ASM","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antigua y Barbuda","ATG","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","AUS","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8482919","8521707","8589431","8619628","8780806","8978386","9101630","9160933","9253911","9338857","9523255","9692915","9837966","10013838","10126070","10426942","10650659","10937240","11228764","11471850","11661196","11842239","12006301","12176891","12316359","12554514","12728416","13006679","13308365","13590354","13590200","13807641","14091546"
"Austria","AUT","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3511975","3569407","3652067","3684501","3851283","3881434","3851512","3835998","3875146","3900723","3899806","3895879","3971245","4014293","3919678","4046427","4114656","4201262","4243342","4285255","4302610","4332472","4379686","4423190","4444847","4497039","4579306","4608584","4642407","4662739","4638300","4689420","4736413"
"Azerbaiyán","AZE","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3353959","3405558","3545510","3708187","3870976","4002559","4072813","4127968","4171337","4227769","4268500","4236119","4204886","4180410","4114099","4115696","4093836","3998065","4044161","4143977","4195696","4275302","4359293","4428280","4531372","4626699","4756797","4841518","4925538","4964822","5165410","5140941","5170752"
"Burundi","BDI","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2546372","2568641","2622016","2410298","2394789","2628505","2575028","2527375","2574722","2652842","2711922","2789039","2877511","2979746","3109670","3235531","3353085","3475185","3624218","3823894","3999715","4113261","4228184","4347855","4460707","4525904","4553883","4644148","4803010","4990348","5110212","5332664","5573272"
"Bélgica","BEL","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3945699","4035746","4081207","4106266","4171786","4202026","4205314","4229113","4269462","4371569","4416525","4315763","4365043","4402418","4485839","4626679","4646803","4728844","4777353","4797213","4893955","4876780","4910968","4962050","4978926","4989597","4997187","5086330","5144068","5194405","5167188","5262812","5328510"
"Benin","BEN","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015405","2076803","2140165","2255088","2345579","2375000","2429876","2502067","2582839","2667735","2755776","2846533","2939918","3038386","3139548","3251640","3361334","3464881","3577586","3697926","3822693","3947757","4004243","4056023","4105299","4152214","4195476","4235801","4273806","4403417","4496470","4647780","4811208"
"Burkina Faso","BFA","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4070828","4162241","4222905","4290284","4364455","4443793","4522973","4604246","4701427","4814343","4933796","5059121","5187760","5316274","5443470","5567467","5683357","5790842","5886292","5978737","6071773","6168443","6272750","6376479","6481181","6683144","6896061","7116801","7340573","7569473","7743849","8074705","8364639"
"Bangladesh","BGD","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35655781","36649014","37679442","38782428","39939213","41130070","42245105","43410981","44642515","45916478","47201078","48437537","49645747","50817188","51973925","53084729","53950191","54599225","55151453","55755782","56625232","57602724","58662413","59781774","60904130","62009866","63166277","67164738","68748318","70248864","70940010","72549161","74459362"
"Bulgaria","BGR","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3926494","3930509","3931230","3863462","3813982","3760700","3703303","3642463","3580044","3519675","3459130","3488558","3393905","3322992","3353786","3282858","3369624","3432707","3486533","3409927","3405748","3323514","3335298","3363140","3357878","3333481","3265483","3364252","3338430","3391873","3311854","3268751","3282245"
"Bahrein","BHR","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224600","231507","239840","248928","258713","269157","280317","292255","304884","318052","331668","345676","360155","381538","417214","461674","508671","558291","610442","664657","692760","685093","699050","722754","742612","768564","802049","837284","860932","864850","831368","827146","842278"
"Bahamas","BHS","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132538","136814","141084","145240","149259","152813","156386","160208","163093","167376","171113","174752","178110","181007","184131","187592","191079","194476","197481","200181","203925","207965","211887","214987","218478","221810","225296","228902","232374","235408","226709","233151","239764"
"Bosnia y Herzegovina","BIH","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1558150","1563261","1463163","1314974","1233074","1224112","1291861","1352711","1387057","1411271","1430136","1446102","1467568","1479854","1479078","1474492","1474993","1482648","1490660","1463957","1464249","1428367","1416274","1386578","1400680","1385813","1365760","1351075","1330417","1344543","1321242","1387825","1366232"
"Belarús","BLR","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4653509","4644143","4659163","4676652","4700525","4725255","4721328","4705649","4711157","4735445","4792992","4840761","4874607","4897259","4914756","4930387","4947148","4970097","4995641","5018321","5034023","5043198","5045691","5043888","5042125","5042141","5038419","5025143","4998649","4971033","4931564","4912087","4888890"
